author/repo,name,url,language,license,size
EleutherAI/datasets,datasets,https://github.com/EleutherAI/datasets,Python,Apache-2.0,46.00 MiB
EleutherAI/depoison,depoison,https://github.com/EleutherAI/depoison,Python,MIT,2.99 KiB
EleutherAI/distilling,distilling,https://github.com/EleutherAI/distilling,Python,MIT,70.75 KiB
EleutherAI/equivariance,equivariance,https://github.com/EleutherAI/equivariance,Python,Apache-2.0,129.31 KiB
EleutherAI/fractal-ml,fractal-ml,https://github.com/EleutherAI/fractal-ml,Jupyter,MIT,3.15 MiB
EleutherAI/gpt-neo,gpt-neo,https://github.com/EleutherAI/gpt-neo,Python,MIT,291.88 KiB
EleutherAI/jusText,jusText,https://github.com/EleutherAI/jusText,Python,BSD-2-Clause,2.43 MiB
EleutherAI/lingvo,lingvo,https://github.com/EleutherAI/lingvo,Python,Apache-2.0,33.36 MiB
EleutherAI/lm-evaluation-harness,lm-evaluation-harness,https://github.com/EleutherAI/lm-evaluation-harness,Python,MIT,535.61 KiB
EleutherAI/lm_perplexity,lm_perplexity,https://github.com/EleutherAI/lm_perplexity,Python,MIT,1.76 MiB
EleutherAI/megatron-3d,megatron-3d,https://github.com/EleutherAI/megatron-3d,Python,Apache-2.0,631.84 KiB
EleutherAI/mp_nerf,mp_nerf,https://github.com/EleutherAI/mp_nerf,Python,BSD-3-Clause,15.65 MiB
EleutherAI/openwebtext2,openwebtext2,https://github.com/EleutherAI/openwebtext2,Python,MIT,93.61 KiB
EleutherAI/pile-allpoetry,pile-allpoetry,https://github.com/EleutherAI/pile-allpoetry,Python,MIT,10.17 KiB
EleutherAI/pile-cc-filtering,pile-cc-filtering,https://github.com/EleutherAI/pile-cc-filtering,Python,MIT,5.40 KiB
EleutherAI/pile-cord19,pile-cord19,https://github.com/EleutherAI/pile-cord19,Python,MIT,3.75 KiB
EleutherAI/pile-enron-emails,pile-enron-emails,https://github.com/EleutherAI/pile-enron-emails,Python,CC0-1.0,7.74 KiB
EleutherAI/pile-explorer,pile-explorer,https://github.com/EleutherAI/pile-explorer,Python,MIT,16.35 KiB
EleutherAI/pile-pubmedcentral,pile-pubmedcentral,https://github.com/EleutherAI/pile-pubmedcentral,Python,MIT,20.30 MiB
EleutherAI/pile-ubuntu-irc,pile-ubuntu-irc,https://github.com/EleutherAI/pile-ubuntu-irc,Python,MIT,4.25 KiB
EleutherAI/pile-uspto,pile-uspto,https://github.com/EleutherAI/pile-uspto,Python,MIT,7.37 KiB
EleutherAI/poll_website_demo,poll_website_demo,https://github.com/EleutherAI/poll_website_demo,JavaScript,MIT,2.07 MiB
EleutherAI/pyfra,pyfra,https://github.com/EleutherAI/pyfra,JavaScript,MIT,1.85 MiB
EleutherAI/radioactive-lab,radioactive-lab,https://github.com/EleutherAI/radioactive-lab,Python,CC-BY-NC-4.0,293.42 KiB
EleutherAI/scaling-laws,scaling-laws,https://github.com/EleutherAI/scaling-laws,Jupyter,Apache-2.0,100.30 KiB
EleutherAI/stackexchange-dataset,stackexchange-dataset,https://github.com/EleutherAI/stackexchange-dataset,Python,MIT,19.44 KiB
EleutherAI/text-generation-testing-ui,text-generation-testing-ui,https://github.com/EleutherAI/text-generation-testing-ui,Css,MIT,1.92 MiB
EleutherAI/the-pile,the-pile,https://github.com/EleutherAI/the-pile,Python,MIT,82.25 KiB
EleutherAI/tqdm-multiprocess,tqdm-multiprocess,https://github.com/EleutherAI/tqdm-multiprocess,Python,MIT,20.94 KiB
EleutherAI/transformers,transformers,https://github.com/EleutherAI/transformers,Python,Apache-2.0,21.59 MiB
EleutherAI/visual-grounding,visual-grounding,https://github.com/EleutherAI/visual-grounding,Python,Apache-2.0,60.63 KiB
Engelberg/instaparse,instaparse,https://github.com/Engelberg/instaparse,Clojure,EPL-1.0,367.44 KiB
Errorific/haskell-script-examples,haskell-script-examples,https://github.com/Errorific/haskell-script-examples,Haskell,MIT,21.29 KiB
Eventador/cookiecutter-rest-api,cookiecutter-rest-api,https://github.com/Eventador/cookiecutter-rest-api,Python,MIT,196.56 KiB
Evizero/UnicodePlots.jl,UnicodePlots.jl,https://github.com/Evizero/UnicodePlots.jl,Julia,MIT,1.07 MiB
FastFilter/xorfilter,xorfilter,https://github.com/FastFilter/xorfilter,Go,Apache-2.0,173.92 KiB
Findus23/pyLanguagetool,pyLanguagetool,https://github.com/Findus23/pyLanguagetool,Python,MIT,133.01 KiB
FrancisMurillo/transducer.el,transducer.el,https://github.com/FrancisMurillo/transducer.el,Elisp,GPL-3.0-only,58.16 KiB
Fuuzetsu/aeson-schema,aeson-schema,https://github.com/Fuuzetsu/aeson-schema,Haskell,MIT,128.97 KiB
Gabriel439/Haskell-Turtle-Library,Haskell-Turtle-Library,https://github.com/Gabriel439/Haskell-Turtle-Library,Haskell,BSD-3-Clause,294.16 KiB
GeneralMills/pytrends,pytrends,https://github.com/GeneralMills/pytrends,Python,Apache-2.0,44.26 KiB
Genivia/ugrep,ugrep,https://github.com/Genivia/ugrep,Cpp,BSD-3-Clause,15.22 MiB
GoogleCloudPlatform/gcsfuse,gcsfuse,https://github.com/GoogleCloudPlatform/gcsfuse,Go,Apache-2.0,21.44 MiB
GoogleCloudPlatform/getting-started-python,getting-started-python,https://github.com/GoogleCloudPlatform/getting-started-python,Python,Apache-2.0,366.51 KiB
GoogleCloudPlatform/keras-idiomatic-programmer,keras-idiomatic-programmer,https://github.com/GoogleCloudPlatform/keras-idiomatic-programmer,Python,Apache-2.0,23.84 MiB
GoogleCloudPlatform/open-match,open-match,https://github.com/GoogleCloudPlatform/open-match,Go,Apache-2.0,700.17 KiB
GoogleContainerTools/kaniko,kaniko,https://github.com/GoogleContainerTools/kaniko,Go,Apache-2.0,41.88 MiB
Guad/tags2uml,tags2uml,https://github.com/Guad/tags2uml,Go,Apache-2.0,270.35 KiB
HDI-Project/ATM,ATM,https://github.com/HDI-Project/ATM,Python,MIT,419.60 KiB
HackerNews/API,API,https://github.com/HackerNews/API,Markdown,MIT,13.65 KiB
Hellisotherpeople/CX_DB8,CX_DB8,https://github.com/Hellisotherpeople/CX_DB8,Python,GPL-3.0-only,6.07 MiB
HendrikStrobelt/detecting-fake-text,detecting-fake-text,https://github.com/HendrikStrobelt/detecting-fake-text,TypeScript,Apache-2.0,9.10 MiB
HendrikStrobelt/gltr,detecting-fake-text,https://github.com/HendrikStrobelt/detecting-fake-text,TypeScript,Apache-2.0,9.10 MiB
IBM/AutoMLPipeline.jl,AutoMLPipeline.jl,https://github.com/IBM/AutoMLPipeline.jl,Julia,MIT,132.95 KiB
IBM/graphql-query-generator,graphql-query-generator,https://github.com/IBM/graphql-query-generator,Graphql,MIT,2.21 MiB
Intika-Linux-Proxy/Proxybound,Proxybound,https://github.com/Intika-Linux-Proxy/Proxybound,C,AGPL-1.0-only,102.76 KiB
IonicaBizau/github-stats,github-stats,https://github.com/IonicaBizau/github-stats,JavaScript,MIT,76.31 KiB
IsumiF/leetcode-hs,leetcode-hs,https://github.com/IsumiF/leetcode-hs,Haskell,BSD-3-Clause,112.26 KiB
JakeWheat/intro_to_parsing,intro_to_parsing,https://github.com/JakeWheat/intro_to_parsing,Haskell,BSD-3-Clause,203.70 KiB
Jam3/math-as-code,math-as-code,https://github.com/Jam3/math-as-code,Markdown,MIT,113.96 KiB
JamesAnthonyLow/hacker-rank-fp-challenges-clojure,hacker-rank-fp-challenges-clojure,https://github.com/JamesAnthonyLow/hacker-rank-fp-challenges-clojure,Clojure,EPL-1.0,18.94 KiB
JarrodCTaylor/schema-cartographer,schema-cartographer,https://github.com/JarrodCTaylor/schema-cartographer,Clojure,Apache-2.0,117.14 KiB
JuliaImages/ImageInTerminal.jl,ImageInTerminal.jl,https://github.com/JuliaImages/ImageInTerminal.jl,Julia,MIT,288.89 KiB
JustusAdam/mustache,mustache,https://github.com/JustusAdam/mustache,Haskell,BSD-3-Clause,86.48 KiB
KCL-Planning/VAL,VAL,https://github.com/KCL-Planning/VAL,Cpp,BSD-3-Clause,3.97 MiB
KSneijders/AoE2ScenarioParser,AoE2ScenarioParser,https://github.com/KSneijders/AoE2ScenarioParser,Python,GPL-3.0-only,1.46 MiB
Kaggle/kaggle-api,kaggle-api,https://github.com/Kaggle/kaggle-api,Python,Apache-2.0,510.63 KiB
Kawaboongawa/Zolver,Zolver,https://github.com/Kawaboongawa/Zolver,Python,MIT,14.55 MiB
KoichiYasuoka/deplacy,deplacy,https://github.com/KoichiYasuoka/deplacy,JavaScript,MIT,394.30 KiB
KonH/GithubExplorer,GithubExplorer,https://github.com/KonH/GithubExplorer,CSharp,MIT,24.21 KiB
KrauseFx/markdown-to-html-github-style,markdown-to-html-github-style,https://github.com/KrauseFx/markdown-to-html-github-style,Html,MIT,1.29 MiB
Kungsgeten/org-brain,org-brain,https://github.com/Kungsgeten/org-brain,Elisp,MIT,196.81 KiB
Lompik/html-to-org,html-to-org,https://github.com/Lompik/html-to-org,Nim,Apache-2.0,62.50 KiB
LukeSmithxyz/kjv,kjv,https://github.com/LukeSmithxyz/kjv,Sh,Unlicense,5.38 MiB
MaaSTaaR/SSFS,SSFS,https://github.com/MaaSTaaR/SSFS,C,GPL-3.0-only,38.02 KiB
MaartenGr/KeyBERT,KeyBERT,https://github.com/MaartenGr/KeyBERT,Html,MIT,93.65 KiB
MarchLiu/clj-parsec,clj-parsec,https://github.com/MarchLiu/clj-parsec,Clojure,EPL-1.0,119.46 KiB
MaskRay/ccls,ccls,https://github.com/MaskRay/ccls,Cpp,Apache-2.0,757.25 KiB
MasterScrat/Chatistics,Chatistics,https://github.com/MasterScrat/Chatistics,Python,MIT,2.17 MiB
MichaelBurge/pyramid-scheme,pyramid-scheme,https://github.com/MichaelBurge/pyramid-scheme,Racket,AGPL-3.0-only,372.43 KiB
Microsoft/vscode-extension-samples,vscode-extension-samples,https://github.com/Microsoft/vscode-extension-samples,TypeScript,MIT,78.35 MiB
MondayMorningHaskell/haskellings,haskellings,https://github.com/MondayMorningHaskell/haskellings,Haskell,BSD-3-Clause,205.33 KiB
MrS0m30n3/google-translate,google-translate,https://github.com/MrS0m30n3/google-translate,JavaScript,Unlicense,2.50 MiB
NVIDIA/Megatron-LM,Megatron-LM,https://github.com/NVIDIA/Megatron-LM,Python,Apache-2.0,1.23 MiB
NathanLaing/UO-COSC241,UO-COSC241,https://github.com/NathanLaing/UO-COSC241,Java,MIT,1.19 MiB
NervanaSystems/nlp-architect,nlp-architect,https://github.com/NervanaSystems/nlp-architect,Python,Apache-2.0,69.65 MiB
Netflix/PigPen,PigPen,https://github.com/Netflix/PigPen,Clojure,Apache-2.0,595.64 KiB
Niweera/googledict,googledict,https://github.com/Niweera/googledict,JavaScript,MIT,183.73 KiB
NixOS/cabal2nix,cabal2nix,https://github.com/NixOS/cabal2nix,Haskell,BSD-3-Clause,1.57 MiB
NixOS/nix-pills,nix-pills,https://github.com/NixOS/nix-pills,Xml,CC-BY-SA-4.0,380.63 KiB
NotAFile/libolm-go,libolm-go,https://github.com/NotAFile/libolm-go,Go,Apache-2.0,22.01 KiB
NotMyself/DotNetCoreKoans,DotNetCoreKoans,https://github.com/NotMyself/DotNetCoreKoans,CSharp,MIT,103.22 KiB
OfficeDev/msteams-samples-hello-world-csharp,msteams-samples-hello-world-csharp,https://github.com/OfficeDev/msteams-samples-hello-world-csharp,Css,MIT,171.43 KiB
OmniSharp/csharp-language-server-protocol,csharp-language-server-protocol,https://github.com/OmniSharp/csharp-language-server-protocol,CSharp,MIT,3.33 MiB
OmniSharp/omnisharp-emacs,omnisharp-emacs,https://github.com/OmniSharp/omnisharp-emacs,Elisp,GPL-3.0-only,1.70 MiB
OneLoneCoder/videos,videos,https://github.com/OneLoneCoder/videos,Cpp,GPL-3.0-only,29.37 MiB
OnorioCatenacci/rosewindow,rosewindow,https://gitlab.com/OnorioCatenacci/rosewindow,JavaScript,MIT,55.90 MiB
OpenZeppelin/openzeppelin-contracts,openzeppelin-contracts,https://github.com/OpenZeppelin/openzeppelin-contracts,JavaScript,MIT,3.59 MiB
OthersideAI/chronology,chronology,https://github.com/OthersideAI/chronology,Python,MIT,3.23 MiB
Outpox/csgo-binds-generator,csgo-binds-generator,https://github.com/Outpox/csgo-binds-generator,Html,AGPL-1.0-only,1.71 MiB
Overv/outrun,outrun,https://github.com/Overv/outrun,Python,Apache-2.0,1.22 MiB
P403n1x87/austin,austin,https://github.com/P403n1x87/austin,C,GPL-3.0-only,4.78 MiB
PAIR-code/lit,lit,https://github.com/PAIR-code/lit,TypeScript,Apache-2.0,25.67 MiB
PFalkowski/EegSignalProcessing,EegSignalProcessing,https://github.com/PFalkowski/EegSignalProcessing,Python,MIT,3.25 MiB
PHPirates/travis-ci-latex-pdf,travis-ci-latex-pdf,https://github.com/PHPirates/travis-ci-latex-pdf,Tex,MIT,1.79 MiB
PabloReszczynski/merkle-tree,merkle-tree,https://github.com/PabloReszczynski/merkle-tree,Racket,MIT,3.93 KiB
Patreon/patreon-php,patreon-php,https://github.com/Patreon/patreon-php,Php,Apache-2.0,53.13 KiB
PlqnK/csgo-cfg,csgo-cfg,https://github.com/PlqnK/csgo-cfg,Markdown,Unlicense,55.54 KiB
Polychlorobenzene/crystal-ball,crystal-ball,https://github.com/Polychlorobenzene/crystal-ball,Vue,Apache-2.0,527.86 KiB
Porges/email-validate-hs,email-validate-hs,https://github.com/Porges/email-validate-hs,Haskell,BSD-3-Clause,49.19 KiB
PositiveTechnologies/flower,flower,https://github.com/PositiveTechnologies/flower,Clojure,MIT,348.75 KiB
PostgREST/postgrest,postgrest,https://github.com/PostgREST/postgrest,Haskell,MIT,1.25 MiB
PosthumanMarket/Market,Market,https://github.com/PosthumanMarket/Market,Tsx,Apache-2.0,3.98 MiB
PosthumanMarket/Posthuman.py,Posthuman.py,https://github.com/PosthumanMarket/Posthuman.py,Python,Apache-2.0,5.63 MiB
PosthumanMarket/ocean.py,ocean.py,https://github.com/PosthumanMarket/ocean.py,Python,Apache-2.0,5.68 MiB
PrincetonML/SIF,SIF,https://github.com/PrincetonML/SIF,Python,MIT,8.36 MiB
Psionica/Semantica,Semantica,https://github.com/Psionica/Semantica,Python,MPL-2.0,35.75 KiB
PyCQA/mccabe,mccabe,https://github.com/PyCQA/mccabe,Python,MIT,24.33 KiB
PyFilesystem/fs.dropboxfs,fs.dropboxfs,https://github.com/PyFilesystem/fs.dropboxfs,Python,MIT,17.76 KiB
PyFilesystem/pyfilesystem2,pyfilesystem2,https://github.com/PyFilesystem/pyfilesystem2,Python,MIT,815.09 KiB
PyGithub/PyGithub,PyGithub,https://github.com/PyGithub/PyGithub,Python,"GPL-3.0-only, LGPL-3.0-only",24.50 MiB
QData/TextAttack,TextAttack,https://github.com/QData/TextAttack,Python,MIT,1.49 MiB
QLeelulu/goku,goku,https://github.com/QLeelulu/goku,Go,MIT,136.86 KiB
Qihoo360/phptrace,phptrace,https://github.com/Qihoo360/phptrace,C,Apache-2.0,275.25 KiB
QuMuLab/teamwork-via-collective-intention,teamwork-via-collective-intention,https://github.com/QuMuLab/teamwork-via-collective-intention,Python,MIT,29.30 KiB
RDFLib/pySHACL,pySHACL,https://github.com/RDFLib/pySHACL,Python,Apache-2.0,912.64 KiB
RaRe-Technologies/gensim,gensim,https://github.com/RaRe-Technologies/gensim,C,LGPL-2.1-only,81.55 MiB
RasaHQ/rasa-demo,rasa-demo,https://github.com/RasaHQ/rasa-demo,Python,GPL-3.0-only,427.29 KiB
RasaHQ/starter-pack-rasa-nlu,starter-pack-rasa-nlu,https://github.com/RasaHQ/starter-pack-rasa-nlu,Python,Apache-2.0,895.65 KiB
RasaHQ/tutorial-migrating-dialogflow-to-rasa,tutorial-migrating-dialogflow-to-rasa,https://github.com/RasaHQ/tutorial-migrating-dialogflow-to-rasa,Python,Apache-2.0,209.87 KiB
RasaHQ/tutorial-rasa-google-assistant,tutorial-rasa-google-assistant,https://github.com/RasaHQ/tutorial-rasa-google-assistant,Python,Apache-2.0,236.70 KiB
RefactoringGuru/design-patterns-java,design-patterns-java,https://github.com/RefactoringGuru/design-patterns-java,Java,CC-BY-NC-ND-4.0,312.50 KiB
RehanSaeed/.NET-Big-O-Algorithm-Complexity-Cheat-Sheet,.NET-Big-O-Algorithm-Complexity-Cheat-Sheet,https://github.com/RehanSaeed/.NET-Big-O-Algorithm-Complexity-Cheat-Sheet,Html,MIT,354.45 KiB
SWI-Prolog/swipl-devel,swipl-devel,https://github.com/SWI-Prolog/swipl-devel,Perl,BSD-2-Clause,13.49 MiB
SchemaStore/schemastore,schemastore,https://github.com/SchemaStore/schemastore,Xml,Apache-2.0,58.24 MiB
Schmavery/facebook-chat-api,facebook-chat-api,https://github.com/Schmavery/facebook-chat-api,JavaScript,MIT,606.10 KiB
SeedyROM/hte,hte,https://github.com/SeedyROM/hte,Haskell,BSD-3-Clause,8.90 KiB
Sentdex/nnfs,nnfs,https://github.com/Sentdex/nnfs,Python,MIT,11.72 KiB
SerCeMan/jnr-fuse,jnr-fuse,https://github.com/SerCeMan/jnr-fuse,Java,MIT,202.29 KiB
ShineyDev/github.py,github.py,https://github.com/ShineyDev/github.py,Python,Apache-2.0,343.45 KiB
Silex/docker-emacs,docker-emacs,https://github.com/Silex/docker-emacs,Dockerfile,GPL-3.0-only,123.85 KiB
SpaceVim/SpaceVim,SpaceVim,https://github.com/SpaceVim/SpaceVim,VimScript,GPL-3.0-only,2.76 MiB
SparkFund/google-apps-clj,google-apps-clj,https://github.com/SparkFund/google-apps-clj,Clojure,Apache-2.0,133.26 KiB
StanfordLegion/legion,legion,https://github.com/StanfordLegion/legion,Cpp,Apache-2.0,21.07 MiB
StediInc/cdk-clj,cdk-clj,https://github.com/StediInc/cdk-clj,Clojure,Apache-2.0,151.59 KiB
SumoLogic/sumoshell,sumoshell,https://github.com/SumoLogic/sumoshell,Go,Apache-2.0,1.35 MiB
Swordfish90/cool-retro-term/qmltermwidget,qmltermwidget,https://github.com/Swordfish90/qmltermwidget,Cpp,AGPL-1.0-only,954.11 KiB
TKCERT/pathfinder,pathfinder,https://github.com/TKCERT/pathfinder,Python,GPL-3.0-only,106.09 KiB
TatriX/tshell,tshell,https://github.com/TatriX/tshell,Elisp,GPL-3.0-only,50.33 KiB
Terrabits/rubygem_example,rubygem_example,https://github.com/Terrabits/rubygem_example,Ruby,MIT,8.00 KiB
Textualize/rich,rich,https://github.com/Textualize/rich,Python,MIT,18.24 MiB
TheAlgorithms/C,C,https://github.com/TheAlgorithms/C,C,GPL-3.0-only,3.86 MiB
TheAlgorithms/C-Plus-Plus,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,Cpp,MIT,227.64 KiB
TheAlgorithms/Javascript,Javascript,https://github.com/TheAlgorithms/Javascript,JavaScript,GPL-3.0-only,150.19 KiB
TheAlgorithms/Python,Python,https://github.com/TheAlgorithms/Python,Python,MIT,9.75 MiB
TheAlgorithms/Rust,Rust,https://github.com/TheAlgorithms/Rust,Rust,MIT,74.46 KiB
TheFrenchGhosty/TheFrenchGhostys-Ultimate-YouTube-DL-Scripts-Collection,TheFrenchGhostys-Ultimate-YouTube-DL-Scripts-Collection,https://github.com/TheFrenchGhosty/TheFrenchGhostys-Ultimate-YouTube-DL-Scripts-Collection,Sh,GPL-3.0-only,111.48 KiB
TheProtaganist/gpt-j,gpt-j,https://github.com/TheProtaganist/gpt-j,Python,MIT,34.22 KiB
TimUntersberger/neogit,neogit,https://github.com/TimUntersberger/neogit,Lua,MIT,169.58 KiB
TimothyYe/ydict,ydict,https://github.com/TimothyYe/ydict,Go,MIT,189.47 KiB
TommyX12/company-tabnine,company-tabnine,https://github.com/TommyX12/company-tabnine,Elisp,MIT,74.55 KiB
Twinside/Rasterific,Rasterific,https://github.com/Twinside/Rasterific,Haskell,BSD-3-Clause,1.57 MiB
Twinside/Rasterific/FontyFruity,FontyFruity,https://github.com/Twinside/FontyFruity.git,Haskell,BSD-3-Clause,98.15 KiB
UKPLab/sentence-transformers,sentence-transformers,https://github.com/UKPLab/sentence-transformers,Python,Apache-2.0,18.86 MiB
